Width_x,Breadth_y,height_z,Pore_dia,Margin,No_holes_w,No_holes_b,No_holes_h,Shape_no,Porosity,Pore_area,Solid_volume,Volume,Total Surface Area,STL_file_name,shape_name
5,7,9,0.3,0.5,7,10,13,1,39.17142516,0.09,191.6100108,315,1551.219987,structure_SQUARE_cube_5.00x7.00x9.00_holes7x10x13_pore0.300_thick_0.3166666666666667x0.3333333333333333x0.3416666666666666_outthick_0.5.stl,SQUARE
5,7,9,0.3,0.5,7,10,13,2,31.95256678,0.070685835,214.3494146,315,1356.834978,structure_CIRCLE_cube_5.00x7.00x9.00_holes7x10x13_pore0.300_thick_0.3166666666666667x0.3333333333333333x0.3416666666666666_outthick_0.5.stl,CIRCLE
5,7,9,0.3,0.5,7,10,13,3,14.79879091,0.058456715,268.3838086,315,1386.560218,structure_TRI_cube_5.00x7.00x9.00_holes7x10x13_pore0.300_thick_0.3166666666666667x0.3333333333333333x0.3416666666666666_outthick_0.5.stl,TRI
5,7,9,0.3,0.5,7,10,13,4,21.53571204,0.05914475,247.1625071,315,1365.230021,structure_PENTAGON_cube_5.00x7.00x9.00_holes7x10x13_pore0.300_thick_0.3166666666666667x0.3333333333333333x0.3416666666666666_outthick_0.5.stl,PENTAGON
5,7,9,0.3,0.5,7,10,13,5,25.28852455,0.045,235.3411477,315,1379.051661,structure_DIAMOND_cube_5.00x7.00x9.00_holes7x10x13_pore0.300_thick_0.3166666666666667x0.3333333333333333x0.3416666666666666_outthick_0.5.stl,DIAMOND
5,7,9,0.3,0.5,7,10,13,6,27.27050136,0.038971143,229.0979207,315,1373.151913,structure_HEXAGON_cube_5.00x7.00x9.00_holes7x10x13_pore0.300_thick_0.3166666666666667x0.3333333333333333x0.3416666666666666_outthick_0.5.stl,HEXAGON
5,7,9,0.3,1,5,8,12,1,27.77142815,0.09,227.5200013,315,1244.319998,structure_SQUARE_cube_5.00x7.00x9.00_holes5x8x12_pore0.300_thick_0.37500000000000006x0.3714285714285715x0.30909090909090914_outthick_1.0.stl,SQUARE
5,7,9,0.3,1,5,8,12,2,22.43229964,0.070685835,244.3382561,315,1079.282709,structure_CIRCLE_cube_5.00x7.00x9.00_holes5x8x12_pore0.300_thick_0.37500000000000006x0.3714285714285715x0.30909090909090914_outthick_1.0.stl,CIRCLE
5,7,9,0.3,1,5,8,12,3,10.11485859,0.058456715,283.1381954,315,1057.978388,structure_TRI_cube_5.00x7.00x9.00_holes5x8x12_pore0.300_thick_0.37500000000000006x0.3714285714285715x0.30909090909090914_outthick_1.0.stl,TRI
5,7,9,0.3,1,5,8,12,4,14.91428526,0.05914475,268.0200014,315,1062.582351,structure_PENTAGON_cube_5.00x7.00x9.00_holes5x8x12_pore0.300_thick_0.37500000000000006x0.3714285714285715x0.30909090909090914_outthick_1.0.stl,PENTAGON
5,7,9,0.3,1,5,8,12,5,17.56500801,0.045,259.6702248,315,1077.399368,structure_DIAMOND_cube_5.00x7.00x9.00_holes5x8x12_pore0.300_thick_0.37500000000000006x0.3714285714285715x0.30909090909090914_outthick_1.0.stl,DIAMOND
5,7,9,0.3,1,5,8,12,6,19.00224632,0.038971143,255.1429241,315,1078.424972,structure_HEXAGON_cube_5.00x7.00x9.00_holes5x8x12_pore0.300_thick_0.37500000000000006x0.3714285714285715x0.30909090909090914_outthick_1.0.stl,HEXAGON
5,7,9,0.3,0.5,5,8,10,1,24.8571423,0.09,236.7000018,315,1155.399994,structure_SQUARE_cube_5.00x7.00x9.00_holes5x8x10_pore0.300_thick_0.625x0.5142857142857142x0.5555555555555556_outthick_0.5.stl,SQUARE
5,7,9,0.3,0.5,5,8,10,2,20.03645507,0.070685835,251.8851665,315,1002.637181,structure_CIRCLE_cube_5.00x7.00x9.00_holes5x8x10_pore0.300_thick_0.625x0.5142857142857142x0.5555555555555556_outthick_0.5.stl,CIRCLE
5,7,9,0.3,0.5,5,8,10,3,8.985779855,0.058456715,286.6947935,315,975.6909975,structure_TRI_cube_5.00x7.00x9.00_holes5x8x10_pore0.300_thick_0.625x0.5142857142857142x0.5555555555555556_outthick_0.5.stl,TRI
5,7,9,0.3,0.5,5,8,10,4,13.28571372,0.05914475,273.1500018,315,983.4636525,structure_PENTAGON_cube_5.00x7.00x9.00_holes5x8x10_pore0.300_thick_0.625x0.5142857142857142x0.5555555555555556_outthick_0.5.stl,PENTAGON
5,7,9,0.3,0.5,5,8,10,5,15.65649619,0.045,265.682037,315,997.6868578,structure_DIAMOND_cube_5.00x7.00x9.00_holes5x8x10_pore0.300_thick_0.625x0.5142857142857142x0.5555555555555556_outthick_0.5.stl,DIAMOND
5,7,9,0.3,0.5,5,8,10,6,16.94866709,0.038971143,261.6116987,315,999.5747237,structure_HEXAGON_cube_5.00x7.00x9.00_holes5x8x10_pore0.300_thick_0.625x0.5142857142857142x0.5555555555555556_outthick_0.5.stl,HEXAGON
5,7,9,0.3,1,4,6,9,1,17.38285557,0.09,260.2440049,315,917.7999812,structure_SQUARE_cube_5.00x7.00x9.00_holes4x6x9_pore0.300_thick_0.5999999999999999x0.6399999999999999x0.5375000000000001_outthick_1.0.stl,SQUARE
5,7,9,0.3,1,4,6,9,2,13.92690663,0.070685835,271.1302441,315,800.4371073,structure_CIRCLE_cube_5.00x7.00x9.00_holes4x6x9_pore0.300_thick_0.5999999999999999x0.6399999999999999x0.5375000000000001_outthick_1.0.stl,CIRCLE
5,7,9,0.3,1,4,6,9,3,6.13836856,0.058456715,295.664139,315,765.1633891,structure_TRI_cube_5.00x7.00x9.00_holes4x6x9_pore0.300_thick_0.5999999999999999x0.6399999999999999x0.5375000000000001_outthick_1.0.stl,TRI
5,7,9,0.3,1,4,6,9,4,9.154284794,0.05914475,286.1640029,315,778.2383506,structure_PENTAGON_cube_5.00x7.00x9.00_holes4x6x9_pore0.300_thick_0.5999999999999999x0.6399999999999999x0.5375000000000001_outthick_1.0.stl,PENTAGON
5,7,9,0.3,1,4,6,9,5,10.80837208,0.045,280.953628,315,790.1361805,structure_DIAMOND_cube_5.00x7.00x9.00_holes4x6x9_pore0.300_thick_0.5999999999999999x0.6399999999999999x0.5375000000000001_outthick_1.0.stl,DIAMOND
